CASE,UNO,SERO,Mode,Alt1_ch,Alt2_ch,Alt3_ch,WEIGHT,DIST,VEHWRK,POPDENS,MALE,AGE,AGE45,HIGHINC,IVTT_DA,OVTT_DA,OVTDS_DA,COST_DA,IVTT_SR,OVTT_SR,OVTDS_SR,COST_SR,IVTT_TR,OVTT_TR,OVTDS_TR,COST_TR
156,1,0,1,1,0,0,0.6426,20.5,1.3,1.98,1,49,1,1,2.9,0.6,0.02927,4.51,3.59,0.8,0.03902,2.25,2.27,2.5,0.12195,3.45
157,1,0,1,1,0,0,1.8362,19.6,1.3,1.98,1,49,1,1,4.2,0.6,0.03061,4.42,4.61,0.84,0.04286,2.21,2.32,2.65,0.1352,3.65
158,1,0,1,1,0,0,0.6426,8.3,1,5.25,0,70,1,0,1.3,0.3,0.03614,0.81,1.65,0.44,0.05301,0.41,2.85,3.35,0.40361,1
159,1,0,2,0,1,0,0.6426,7.8,1,5.25,0,70,1,0,1.3,0.3,0.03846,0.76,1.65,0.44,0.05641,0.38,2.38,3.27,0.41923,1
160,1,0,1,1,0,0,1.8362,2,1,2.98,1,32,0,0,0.4,0.2,0.1,0.2,0.56,0.31,0.155,0.1,1.8,5.35,2.675,0.75
161,1,0,1,1,0,0,1.8362,9.6,1,3.77,1,43,0,0,1.6,0.2,0.02083,0.94,2.02,0.31,0.03229,0.47,6.9,4.32,0.45,5.15
162,1,0,1,1,0,0,1.8362,28.1,2,1.32,1,36,0,0,5.1,0.4,0.01423,2.75,5.56,0.63,0.02242,1.38,7.08,5.71,0.2032,4.25
163,1,0,1,1,0,0,1.8362,5,3,2.18,0,40,0,0,5,0.3,0.06,0.49,6.14,0.44,0.088,0.24,8.5,5.07,1.014,6.25
164,1,0,1,1,0,0,1.8362,2.9,2,2.7,1,55,1,0,0.7,0.2,0.06897,0.28,0.92,0.38,0.13103,0.14,0.7,2.3,0.7931,1.1
165,1,0,1,1,0,0,0.6426,12.6,1,23.71,1,37,0,0,2.7,0.6,0.04762,1.23,3.04,0.84,0.06667,0.61,2.93,2.39,0.18968,2.65
166,1,0,1,1,0,0,1.8362,4.1,1,23.71,0,32,0,0,1.1,0.5,0.12195,0.4,1.36,0.73,0.17805,0.2,1.67,2.42,0.59024,0.5
167,1,0,1,1,0,0,1.8362,4.1,1,23.71,0,32,0,0,1,0.5,0.12195,0.4,1.25,0.7,0.17073,0.2,1.2,2.42,0.59024,0.5
168,1,0,1,1,0,0,1.8362,2.1,1,9.02,0,47,1,0,0.5,0.3,0.14286,0.21,0.7,0.49,0.23333,0.1,0.19,1.95,0.92857,0.5
169,1,0,1,1,0,0,0.6426,12.8,0.7,2.7,0,47,1,0,2,0.5,0.03906,1.25,2.5,0.68,0.05313,0.62,2.55,3.92,0.30625,1.25
170,1,0,1,1,0,0,0.2982,11,1,9.75,0,58,1,0,2.2,0.9,0.08182,4.76,2.55,1.14,0.10364,2.38,1.89,1.59,0.14455,1.65
171,1,0,2,0,1,0,0.2982,9.1,1,9.75,0,58,1,0,1.7,0.9,0.0989,4.57,2.14,1.16,0.12747,2.29,1.84,2.09,0.22967,1.9
172,1,0,1,1,0,0,0.2982,13,1,7.04,0,42,0,0,2.7,0.7,0.05385,6.23,3.09,0.92,0.07077,3.12,2.52,3.01,0.23154,2.65
173,1,0,1,1,0,0,1.8362,12.2,1,7.25,1,36,0,0,2.6,0.7,0.05738,1.2,2.98,0.92,0.07541,0.6,2.8,2.99,0.24508,3
174,1,0,1,1,0,0,1.8362,3.8,1,6.31,0,54,1,1,0.9,0.4,0.10526,0.37,1.14,0.59,0.15526,0.18,3.51,3.53,0.92895,1.25
175,1,0,2,0,1,0,0.2982,16.2,2,1.32,1,67,1,0,2.5,0.6,0.03704,6.55,3.11,0.8,0.04938,3.28,3.92,2.35,0.14506,3.7
176,1,0,3,0,0,1,0.2982,16.4,2,1.32,1,67,1,0,3.2,0.6,0.03659,6.57,3.56,0.84,0.05122,3.29,4.01,2.92,0.17805,3.8
177,1,0,2,0,1,0,0.2982,5.6,1,38.44,0,58,1,0,2,0.5,0.08929,0.61,2.33,0.7,0.125,0.31,1.89,3.82,0.68214,0.75
178,1,0,3,0,0,1,0.2982,1.6,0.5,77.7,0,29,0,1,0.9,0.8,0.5,5.12,1.15,1.04,0.65,2.56,0.21,2.54,1.5875,0.75
179,1,0,3,0,0,1,0.2982,1.7,0.5,77.7,0,29,0,1,0.8,0.8,0.47059,5.13,1.03,1.03,0.60588,2.57,0.45,2.13,1.25294,0.75
180,1,0,1,1,0,0,0.2982,3.2,0.5,10.32,0,52,1,0,1.2,0.6,0.1875,0.84,1.46,0.84,0.2625,0.42,1.05,1.83,0.57188,0.5
181,1,0,1,1,0,0,0.2982,3.4,0.5,10.32,0,52,1,0,1.1,0.6,0.17647,0.86,1.35,0.81,0.23824,0.44,1.6,1.69,0.49706,0.5
182,1,0,1,1,0,0,0.6426,9.6,1,46.52,1,33,0,0,1.6,0.6,0.0625,0.94,1.9,0.81,0.08438,0.47,2.82,2.31,0.24063,0.75
183,1,0,3,0,0,1,0.2982,1.8,0.5,38.44,0,46,1,0,1,0.8,0.44444,3.11,1.25,1.04,0.57778,1.56,0.54,1.62,0.9,0.75
184,1,0,1,1,0,0,1.8362,12.5,0.5,38.44,1,50,1,0,2.6,0.5,0.04,1.23,2.98,0.7,0.056,0.61,4.36,4.79,0.3832,1.5
185,1,0,1,1,0,0,1.8362,3.2,1,57.95,0,41,0,0,0.9,0.6,0.1875,0.69,1.14,0.81,0.25313,0.34,2.71,2.08,0.65,1
186,1,0,1,1,0,0,1.8362,3.2,1,57.95,0,41,0,0,0.9,0.6,0.1875,0.69,1.15,0.84,0.2625,0.34,3.22,1.39,0.43438,1.25
187,1,0,3,0,0,1,0.2982,1.4,0.5,2.31,1,24,0,0,0.6,0.8,0.57143,0.67,0.84,1.04,0.74286,0.34,0.21,1.39,0.99286,0.75
188,1,0,1,1,0,0,0.2982,1.9,0.5,2.31,1,24,0,0,0.9,0.8,0.42105,0.72,1.14,1.03,0.54211,0.37,0.2,1.39,0.73158,0.75
189,1,0,1,1,0,0,0.6426,2.8,0.5,70.53,1,26,0,1,1.1,0.5,0.17857,0.27,1.35,0.7,0.25,0.14,0.91,2.35,0.83929,0.75
190,1,0,1,1,0,0,1.8362,2.1,0.5,5.21,0,22,0,0,0.9,0.8,0.38095,2.59,1.14,1.03,0.49048,1.29,0.69,1.77,0.84286,0.75
191,1,0,3,0,0,1,0.2982,2.4,0.5,100.53,1,57,1,1,1.2,1,0.41667,3.92,1.46,1.25,0.52083,1.96,1.02,1.08,0.45,0.75
192,1,0,3,0,0,1,0.2982,2.7,1,44.34,1,33,0,0,0.9,1,0.37037,5.22,1.16,1.29,0.47778,2.61,0.89,1.92,0.71111,0.5
193,1,0,3,0,0,1,0.2982,3.7,1,50.06,0,30,0,0,1.6,1,0.27027,4.04,1.88,1.25,0.33784,2.02,1.74,2.29,0.61892,0.5
194,1,0,1,1,0,0,1.8362,9.9,0.5,9.26,0,26,0,0,1.8,0.4,0.0404,0.97,2.11,0.59,0.0596,0.48,2.94,4.38,0.44242,2.65
195,1,0,1,1,0,0,1.8362,2.6,1,7.96,0,40,0,0,0.8,0.6,0.23077,0.25,1.03,0.81,0.31154,0.12,0.49,2.44,0.93846,0.5
196,1,0,1,1,0,0,1.8362,2.5,1,7.96,0,40,0,0,0.6,0.6,0.24,0.24,0.8,0.8,0.32,0.12,1.09,2.45,0.98,0.5
197,1,0,1,1,0,0,0.2982,3.7,1,36.22,1,25,0,0,1.1,0.6,0.16216,0.41,1.41,0.8,0.21622,0.21,0.95,4.1,1.10811,0.75
198,1,0,1,1,0,0,0.2982,4.4,0.5,10.32,0,31,0,0,1.7,0.8,0.18182,2.57,2,1.03,0.23409,1.28,2.1,1.84,0.41818,0.5
199,1,0,1,1,0,0,0.2982,5.7,0.5,44.3,1,25,0,0,1.7,0.7,0.12281,0.57,2,0.92,0.1614,0.29,2.24,2.33,0.40877,1.25
200,1,0,3,0,0,1,0.2982,2.5,0.5,44.3,0,23,0,0,1.2,0.9,0.36,3.92,1.46,1.14,0.456,1.96,0.9,1.12,0.448,0.75
201,1,0,2,0,1,0,0.2982,3.2,1,49.61,0,34,0,0,1.4,0.9,0.28125,2.85,1.68,1.14,0.35625,1.43,0.86,2.71,0.84688,0.75
202,1,0,1,1,0,0,0.2982,3,1,49.16,0,27,0,0,1.1,0.9,0.3,3.22,1.35,1.14,0.38,1.61,1.78,1.25,0.41667,0.5
203,1,0,2,0,1,0,0.2982,4,1,49.16,1,27,0,0,1.3,0.9,0.225,3.62,1.65,1.16,0.29,1.81,2.07,2.47,0.6175,1.25
204,1,0,3,0,0,1,0.2982,3.9,0.6,14.81,0,48,1,0,1.5,1,0.25641,4.06,1.79,1.25,0.32051,2.03,0.92,0.87,0.22308,0.75
205,1,0,1,1,0,0,0.2982,12.3,1,7.78,0,62,1,0,2.7,0.7,0.05691,1.28,3.35,0.92,0.0748,0.64,2.51,2.76,0.22439,0.75
206,1,0,3,0,0,1,0.2982,12.3,1,7.78,0,62,1,0,3.4,0.7,0.05691,1.28,3.77,0.94,0.07642,0.64,2.5,2.75,0.22358,1.5
207,1,0,2,0,1,0,1.8362,12.6,1,7.78,0,62,1,0,2.5,0.6,0.04762,1.23,3.11,0.8,0.06349,0.61,4.39,4.07,0.32302,1.75
208,1,0,3,0,0,1,0.2982,3.2,2,59.57,1,32,0,0,1.3,0.8,0.25,3.24,1.57,1.03,0.32188,1.62,1.06,2.15,0.67188,0.75
209,1,0,1,1,0,0,0.2982,4.2,0.5,54.79,1,34,0,0,1.5,0.9,0.21429,2.26,1.79,1.14,0.27143,1.13,2.17,1.53,0.36429,0.75
210,1,0,1,1,0,0,1.8362,3.8,1,130.87,1,33,0,0,1.2,0.9,0.23684,0.37,1.46,1.14,0.3,0.18,0.42,2.87,0.75526,0.75
211,1,0,3,0,0,1,1.8362,1.1,0.5,46.52,1,25,0,0,0.6,0.8,0.72727,0.11,0.8,1.04,0.94545,0.06,0.23,1.86,1.69091,0.75
212,1,0,1,1,0,0,1.8362,1.6,0.5,46.52,1,25,0,0,0.8,0.8,0.5,0.16,1.04,1.04,0.65,0.08,0.9,1.99,1.24375,0.75
213,1,0,3,0,0,1,0.2982,1.1,1,35.83,0,34,0,0,0.7,1.1,1,5.07,0.92,1.35,1.22727,2.54,0.81,1.46,1.32727,0.5
214,1,0,1,1,0,0,1.8362,12.1,1,4.06,1,62,1,0,2.5,0.4,0.03306,1.19,2.83,0.63,0.05207,0.59,4.32,6.04,0.49917,4.05
215,1,0,1,1,0,0,1.8362,12.1,1,4.06,0,60,1,0,2.5,0.4,0.03306,1.19,2.83,0.63,0.05207,0.59,4.12,5.7,0.47107,4.05
216,1,0,2,0,1,0,0.2982,3.3,0.5,44.34,0,52,1,0,1.4,1,0.30303,4,1.67,1.25,0.37879,2,1.74,2.41,0.7303,0.5
217,1,0,1,1,0,0,0.2982,3.5,0.5,44.34,0,52,1,0,1.4,1,0.28571,4.02,1.68,1.25,0.35714,2.01,1.56,2.34,0.66857,0.5
218,1,0,3,0,0,1,0.2982,3.4,0.5,44.34,0,29,0,0,1.3,0.9,0.26471,4.01,1.57,1.14,0.33529,2.01,1.7,1.87,0.55,0.5
219,1,0,3,0,0,1,0.2982,2.9,1,85.09,1,39,0,0,1.1,0.7,0.24138,0.28,1.35,0.92,0.31724,0.14,0.45,2.34,0.8069,0.75
220,1,0,3,0,0,1,0.2982,1.3,0.5,28.91,0,70,1,0,0.8,1.1,0.84615,3.81,1.04,1.41,1.08462,1.91,0.26,1.01,0.77692,0.75
221,1,0,3,0,0,1,0.2982,2.9,0.5,19.98,0,31,0,0,1.2,0.8,0.27586,3.21,1.46,1.03,0.35517,1.61,0.7,1.77,0.61034,0.75
222,1,0,1,1,0,0,0.2982,2.6,0.5,19.98,0,31,0,0,1.3,0.8,0.30769,3.18,1.57,1.04,0.4,1.59,0.75,1.39,0.53462,0.75
223,1,0,1,1,0,0,1.8362,1.5,0.5,109.88,1,64,1,1,0.7,0.8,0.53333,0.15,0.92,1.03,0.68667,0.07,0.6,2.01,1.34,0.75
224,1,0,1,1,0,0,1.8362,1.6,0.5,109.88,1,64,1,1,0.8,0.8,0.5,0.16,1.04,1.04,0.65,0.08,0.6,1.65,1.03125,0.75
225,1,0,1,1,0,0,0.2982,1.6,0.5,109.88,0,56,1,1,0.7,0.8,0.5,2.01,0.92,1.04,0.65,1.01,0.6,1.55,0.96875,0.75
226,1,0,1,1,0,0,0.2982,1.5,0.5,109.88,0,56,1,1,0.35,0.8,0.53333,2,0.5,1.04,0.69333,1,0.6,1.58,1.05333,0.75
227,1,0,3,0,0,1,0.2982,3.8,0.5,29.69,1,30,0,0,1.4,0.8,0.21053,3.3,1.67,1.04,0.27368,1.65,0.92,1.23,0.32368,0.75
228,1,0,3,0,0,1,0.2982,1.6,1,27.83,0,31,0,0,0.8,0.8,0.5,3.84,1.04,1.04,0.65,1.92,0.86,1.32,0.825,0.5
229,1,0,3,0,0,1,0.2982,2.3,1,27.83,1,28,0,0,1.1,0.8,0.34783,5.19,1.35,1.03,0.44783,2.6,0.96,0.7,0.30435,0.5
230,1,0,1,1,0,0,1.8362,2.1,1,41.67,0,34,0,0,0.9,0.9,0.42857,0.21,1.15,1.15,0.54762,0.1,0.23,1.38,0.65714,0.75
231,1,0,2,0,1,0,1.8362,1.7,0.5,50.06,1,40,0,0,0.6,0.7,0.41176,0.17,0.81,0.92,0.54118,0.09,0.83,2.7,1.58824,1
232,1,0,1,1,0,0,1.8362,1.9,0.5,50.06,1,40,0,0,0.6,0.7,0.36842,0.19,0.8,0.92,0.48421,0.1,0.69,3.48,1.83158,1
233,1,0,1,1,0,0,1.8362,1.7,0.5,50.06,1,40,0,0,0.5,0.7,0.41176,0.17,0.68,0.92,0.54118,0.09,0.77,3.2,1.88235,1
234,1,0,1,1,0,0,0.6426,19.9,1.5,10.32,1,61,1,0,3,0.4,0.0201,1.95,3.41,0.59,0.02965,0.97,4.55,3.43,0.17236,6.25
235,1,0,1,1,0,0,0.6426,2.8,1.5,10.32,0,60,1,0,1.1,0.8,0.28571,0.27,1.36,1.04,0.37143,0.14,1.2,1.69,0.60357,1.25
236,1,0,1,1,0,0,0.2982,1.8,0.5,127.59,1,50,1,1,0.8,0.8,0.44444,0.4,1.03,1.03,0.57222,0.2,0.17,2.49,1.38333,0.75
237,1,0,1,1,0,0,0.2982,1.7,0.5,127.59,1,50,1,1,0.7,0.8,0.47059,0.39,0.92,1.04,0.61176,0.2,0.19,2.59,1.52353,0.75
238,1,0,3,0,0,1,0.2982,5.2,0.5,8.63,0,42,0,0,1.8,0.9,0.17308,5.47,2.11,1.14,0.21923,2.74,1.11,1.14,0.21923,0.75
239,1,0,1,1,0,0,0.6426,7.4,0.5,8.63,1,42,0,0,2.3,0.7,0.09459,0.73,2.65,0.92,0.12432,0.36,2.26,2.98,0.4027,1.25
240,1,0,1,1,0,0,1.8362,3.7,0.5,8.63,1,42,0,0,0.8,0.8,0.21622,0.36,1.04,1.04,0.28108,0.18,1.33,1.62,0.43784,0.75
241,1,0,1,1,0,0,0.6426,7.4,0.5,8.63,1,42,0,0,2.3,0.7,0.09459,0.73,2.65,0.92,0.12432,0.36,2.79,2.65,0.35811,1.25
242,1,0,1,1,0,0,0.2982,3.6,1,49.16,1,64,1,0,1.3,0.8,0.22222,2.89,1.65,1.04,0.28889,1.44,2.31,1.02,0.28333,0.5
243,1,0,2,0,1,0,1.8362,1,0.5,62.21,1,30,0,1,1,0.8,0.8,0.1,1.29,1.04,1.04,0.05,0.43,2.8,2.8,0.75
244,1,0,1,1,0,0,1.8362,0.9,1,54.94,1,30,0,0,0.6,1.1,1.22222,0.09,0.8,1.41,1.56667,0.04,0.33,2.45,2.72222,0.75
245,1,0,1,1,0,0,1.8362,1,1,54.94,1,30,0,0,0.7,1.1,1.1,0.1,0.92,1.35,1.35,0.05,0.38,1.44,1.44,0.75
246,1,0,1,1,0,0,1.8362,3,1,84.67,1,42,0,0,1.1,0.5,0.16667,0.29,1.35,0.7,0.23333,0.14,1.48,2.07,0.69,1.25
247,1,0,3,0,0,1,0.2982,1.9,0.5,36.22,0,26,0,0,1.2,0.8,0.42105,5.15,1.46,1.03,0.54211,2.58,0.72,1.31,0.68947,0.75
248,1,0,3,0,0,1,0.2982,2,0.5,36.22,0,26,0,0,1.2,0.8,0.4,5.16,1.46,1.04,0.52,2.58,0.72,1.32,0.66,0.75
249,1,0,1,1,0,0,1.8362,10.9,0.5,85.09,1,28,0,0,2.2,0.5,0.04587,1.07,2.74,0.68,0.06239,0.54,4.21,5.05,0.4633,1.5
250,1,0,3,0,0,1,0.2982,1.7,0.5,56.27,1,49,1,0,0.7,0.9,0.52941,3.1,0.94,1.15,0.67647,1.56,0.55,1.2,0.70588,0.75
251,1,0,3,0,0,1,0.2982,1.7,0.5,56.27,1,49,1,0,0.7,0.9,0.52941,3.1,0.92,1.14,0.67059,1.56,0.55,1,0.58824,0.75
252,1,0,1,1,0,0,1.8362,10.7,0.5,51.32,1,24,0,0,1.8,0.9,0.08411,1.05,2.11,1.14,0.10654,0.53,2.82,2.84,0.26542,0.75
253,1,0,3,0,0,1,0.2982,1.9,0.3,50.06,1,45,0,0,0.6,0.8,0.42105,0.31,0.8,1.04,0.54737,0.16,0.55,1.35,0.71053,0.5
254,1,0,1,1,0,0,0.2982,1.7,0.3,50.06,1,45,0,0,0.7,0.8,0.47059,0.29,0.94,1.04,0.61176,0.15,0.55,1.65,0.97059,0.5
255,1,0,3,0,0,1,0.2982,3.3,0.3,50.06,1,22,0,0,1.4,1,0.30303,5.28,1.68,1.25,0.37879,2.64,1.7,1.56,0.47273,0.5
256,1,0,3,0,0,1,0.2982,3.2,0.3,50.06,1,22,0,0,1.3,1,0.3125,5.27,1.57,1.25,0.39063,2.63,1.91,1.63,0.50938,0.5
257,1,0,3,0,0,1,0.2982,3.1,1,50.06,1,32,0,1,1.2,1,0.32258,5.26,1.46,1.25,0.40323,2.63,1.56,0.92,0.29677,0.5
258,1,0,2,0,1,0,1.8362,13.6,0.5,51.32,0,35,0,1,2.1,0.8,0.05882,1.33,2.44,1.03,0.07574,0.67,2.39,3.09,0.22721,0.75
259,1,0,1,1,0,0,0.2982,5.8,1,10.32,1,66,1,0,1.8,0.5,0.08621,0.79,2.11,0.7,0.12069,0.39,2.01,1.1,0.18966,1.25
260,1,0,1,1,0,0,0.2982,4.9,1,10.32,1,66,1,0,1.6,0.5,0.10204,0.7,2.02,0.68,0.13878,0.35,2.62,1.67,0.34082,1.25
261,1,0,1,1,0,0,0.6426,4.3,0.7,60.81,0,24,0,0,1.5,0.7,0.16279,0.42,1.78,0.94,0.2186,0.21,3.8,1.88,0.43721,0.5
262,1,0,1,1,0,0,0.6426,4.3,0.7,60.81,0,45,0,0,1.5,0.7,0.16279,0.42,1.78,0.94,0.2186,0.21,3.8,1.88,0.43721,0.5
263,1,0,3,0,0,1,0.6426,2.1,1,43.58,1,30,0,1,1.1,0.9,0.42857,0.21,1.36,1.15,0.54762,0.1,0.43,2.46,1.17143,0.75
264,1,0,3,0,0,1,0.2982,1.8,0.5,41.67,0,23,0,0,0.7,0.8,0.44444,2.72,0.94,1.04,0.57778,1.36,0.45,1.46,0.81111,0.75
265,1,0,3,0,0,1,0.2982,1.9,1,13.38,0,23,0,0,0.8,0.8,0.42105,3.87,1.04,1.04,0.54737,1.94,1.04,0.77,0.40526,0.5
266,1,0,3,0,0,1,0.2982,1.9,1,13.38,0,23,0,0,0.7,0.8,0.42105,3.87,0.92,1.03,0.54211,1.94,0.98,0.57,0.3,0.5
267,1,0,2,0,1,0,1.8362,8,1,13.38,1,22,0,0,2.5,0.5,0.0625,0.78,2.83,0.73,0.09125,0.39,3.09,3.46,0.4325,1.25
268,1,0,3,0,0,1,0.2982,1.6,1,27.83,0,27,0,0,0.7,0.8,0.5,3.84,0.92,1.03,0.64375,1.92,0.83,0.7,0.4375,0.5
269,1,0,1,1,0,0,0.2982,5.3,1,43.9,1,28,0,0,1.6,0.7,0.13208,1.19,1.9,0.92,0.17358,0.6,1.6,4.18,0.78868,0.75
270,1,0,1,1,0,0,1.8362,1,1.5,43.9,1,57,1,0,1,0.5,0.5,0.1,1.29,0.68,0.68,0.05,1.53,2.61,2.61,1.25
271,1,0,1,1,0,0,1.8362,1,1.5,43.9,1,57,1,0,1.2,0.5,0.5,0.1,1.53,0.68,0.68,0.05,2.64,2.65,2.65,1.25
272,1,0,1,1,0,0,0.6426,3.9,0.5,10.32,0,34,0,0,0.9,0.7,0.17949,0.38,1.16,0.92,0.2359,0.19,1.47,1.85,0.47436,0.5
273,1,0,3,0,0,1,0.2982,2.3,1,70.53,1,51,1,1,1,0.8,0.34783,3.91,1.29,1.04,0.45217,1.96,0.58,1.66,0.72174,0.75
274,1,0,1,1,0,0,0.2982,2.5,1,70.53,1,51,1,1,1.1,0.8,0.32,3.92,1.41,1.04,0.416,1.96,0.62,1.36,0.544,0.75
275,1,0,3,0,0,1,0.2982,2.7,1,41.67,1,22,0,0,1.2,1,0.37037,5.22,1.46,1.25,0.46296,2.61,1.21,1.66,0.61481,0.9
276,1,0,3,0,0,1,1.8362,1.6,1,86.34,0,37,0,0,0.9,1.1,0.6875,7.16,1.14,1.35,0.84375,3.58,0.53,1.28,0.8,0.75
277,1,0,1,1,0,0,0.2982,3.4,1,50.06,0,35,0,0,1.4,0.9,0.26471,2.87,1.68,1.14,0.33529,1.44,2.09,1.5,0.44118,0.5
278,1,0,1,1,0,0,0.2982,3.3,1,49.61,0,56,1,0,1.5,0.9,0.27273,2.86,1.79,1.14,0.34545,1.43,1.16,2.16,0.65455,0.75
279,1,0,2,0,1,0,0.2982,2.2,0.5,130.87,1,24,0,0,1.2,1,0.45455,2.76,1.46,1.25,0.56818,1.38,0.9,2.42,1.1,0.75
280,1,0,3,0,0,1,0.2982,2.2,0.5,130.87,1,24,0,0,1.2,1,0.45455,2.76,1.46,1.25,0.56818,1.38,0.9,2.33,1.05909,0.75
281,1,0,1,1,0,0,1.8362,3.8,1,38.44,0,38,0,1,1.5,0.7,0.18421,0.37,1.79,0.92,0.24211,0.18,1.15,2.21,0.58158,0.75
282,1,0,3,0,0,1,0.2982,2.7,0.5,73.64,0,23,0,0,1.3,1,0.37037,3.94,1.57,1.25,0.46296,1.97,1.02,1,0.37037,0.75
283,1,0,3,0,0,1,0.2982,2.9,0.5,73.64,0,23,0,0,1.4,1,0.34483,3.96,1.68,1.25,0.43103,1.98,1.02,1,0.34483,0.75
284,1,0,1,1,0,0,1.8362,2.2,1,49.61,1,37,0,0,1,0.9,0.40909,0.22,1.25,1.14,0.51818,0.11,1.37,3.34,1.51818,1.25
285,1,0,2,0,1,0,0.2982,2.2,0.5,84.67,0,35,0,0,1.1,0.9,0.40909,3.9,1.35,1.14,0.51818,1.95,1.12,1.46,0.66364,0.5
286,1,0,3,0,0,1,0.2982,1.8,0.5,36.22,1,30,0,0,1,0.9,0.5,5.14,1.29,1.16,0.64444,2.57,0.54,1.11,0.61667,0.75
287,1,0,3,0,0,1,0.2982,1.4,0.5,36.22,1,30,0,0,0.7,0.9,0.64286,5.1,0.92,1.14,0.81429,2.55,0.54,0.99,0.70714,0.75
288,1,0,3,0,0,1,0.2982,1.8,0.5,36.22,0,32,0,0,1,0.8,0.44444,3.86,1.25,1.04,0.57778,1.93,0.72,0.86,0.47778,0.75
289,1,0,3,0,0,1,0.2982,2,0.5,36.22,0,32,0,0,1,0.8,0.4,3.88,1.25,1.03,0.515,1.94,0.72,1.02,0.51,0.75
290,1,0,1,1,0,0,1.8362,1.5,1,41.67,1,31,0,0,0.5,0.8,0.53333,0.15,0.7,1.03,0.68667,0.07,0.24,2.3,1.53333,0.75
291,1,0,3,0,0,1,1.8362,2.3,1,0,0,60,1,0,1.1,1,0.43478,0.23,1.35,1.25,0.54348,0.12,0.9,1.15,0.5,0.75
292,1,0,3,0,0,1,0.2982,2.6,1,44.34,0,26,0,0,0.9,0.9,0.34615,5.21,1.14,1.14,0.43846,2.6,1.7,0.95,0.36538,0.5
293,1,0,3,0,0,1,0.2982,3.4,1,41.67,1,38,0,0,1.2,1,0.29412,4.01,1.46,1.25,0.36765,2.01,1.39,1.48,0.43529,0.75
294,1,0,1,1,0,0,0.2982,3.1,1,41.67,1,38,0,0,1.1,1,0.32258,3.98,1.35,1.25,0.40323,1.99,1.39,1.23,0.39677,0.9
295,1,0,1,1,0,0,0.2982,2.8,1,19.98,1,24,0,0,1.2,0.7,0.25,0.8,1.46,0.94,0.33571,0.41,1.27,1.46,0.52143,0.5
296,1,0,3,0,0,1,0.2982,2,1,19.98,1,24,0,0,0.8,0.9,0.45,3.88,1.03,1.14,0.57,1.94,0.94,1.34,0.67,0.5
297,1,0,1,1,0,0,1.8362,9.3,1,60.53,1,31,0,0,1.8,0.5,0.05376,0.91,2.11,0.7,0.07527,0.46,3.68,3.64,0.3914,1.5
298,1,0,1,1,0,0,1.8362,2.6,1,62.21,1,35,0,1,1.1,0.5,0.19231,0.25,1.35,0.7,0.26923,0.12,0.91,2.36,0.90769,0.75
299,1,0,1,1,0,0,1.8362,1.5,1,14.81,1,49,1,0,1.5,0.8,0.53333,0.15,1.89,1.04,0.69333,0.07,1.09,4.12,2.74667,0.75
300,1,0,1,1,0,0,0.6426,2.4,0.5,30.6,0,34,0,0,1,0.8,0.33333,0.24,1.25,1.03,0.42917,0.12,1.79,1.48,0.61667,0.5
301,1,0,1,1,0,0,0.6426,2.3,0.5,30.6,0,34,0,0,1,0.8,0.34783,0.23,1.25,1.04,0.45217,0.12,2.25,1.29,0.56087,0.5
302,1,0,1,1,0,0,1.8362,3.5,1,10.32,0,33,0,1,1.4,0.8,0.22857,0.34,1.67,1.04,0.29714,0.17,1.71,2.56,0.73143,1.25
303,1,0,2,0,1,0,1.8362,2.2,1,74.9,1,42,0,0,2.2,0.5,0.22727,0.22,2.74,0.68,0.30909,0.11,3.6,3.87,1.75909,2.65
304,1,0,1,1,0,0,1.8362,3.3,1,46.52,0,32,0,0,1,0.6,0.18182,0.32,1.25,0.84,0.25455,0.16,2.39,3.32,1.00606,1.25
305,1,0,1,1,0,0,1.8362,2.3,1,74.9,1,34,0,0,1.1,0.7,0.30435,0.23,1.35,0.92,0.4,0.12,1.39,1.8,0.78261,0.75
306,1,0,3,0,0,1,1.8362,2.1,1,56.27,1,42,0,0,0.8,0.7,0.33333,0.21,1.04,0.94,0.44762,0.1,0.61,1.43,0.68095,0.75
307,1,0,1,1,0,0,1.8362,3.9,1,56.27,1,42,0,0,1.1,0.8,0.20513,0.38,1.35,1.03,0.2641,0.19,2.58,1.74,0.44615,1.25
308,1,0,3,0,0,1,0.2982,2.4,1,74.9,1,43,0,0,1.1,1,0.41667,3.92,1.41,1.29,0.5375,1.96,0.85,1.47,0.6125,0.75
309,1,0,1,1,0,0,0.6426,0.8,1,74.9,1,54,1,1,0.3,0.6,0.75,0.08,0.44,0.8,1,0.04,0.15,1.38,1.725,0.5
310,1,0,1,1,0,0,0.6426,0.8,1,74.9,1,54,1,1,0.3,0.6,0.75,0.08,0.49,0.81,1.0125,0.04,0.18,0.88,1.1,0.5
311,1,0,3,0,0,1,1.8362,0.3,1,74.9,1,54,1,1,0.3,0.6,2,0.03,0.44,0.8,2.66667,0.01,0.18,0.98,3.26667,0.5
312,1,0,2,0,1,0,1.8362,0.5,1,74.9,1,54,1,1,0.5,0.7,1.4,0.05,0.68,0.92,1.84,0.03,0.18,2.57,5.14,0.75
